Grid,Midden,MomTagL,MomTagR,MomColors,SquirrelID,MySQL,PlaybackTreatment,PartDate_Litter1_,Litter1N1Date,Litter1N2Date,Litter2PartDate,Litter2N1Date,Litter2N2Date,AxyPeriod_BeginningOrLac_,Axy_,DateStart,TimeStart,DeployDate,DeployTime,DateRemoved,TimeRemoved,DateTurnedOff,SIGNAL1START,SIGNAL1END,SIGNAL2START,SIGNAL2END,TimeTurnedOff,filename
RR,D13,M6288,-,-/W,23956,SELECT id FROM `KRSP 2019`.squirrel where taglft='M6288' AND tagrt='-';,RATTLE,DEAD,N/A,N/A,N/A,N/A,N/A,REPRODUCTION,11,2019-05-22,16:07:48,2019-05-26,10:20:00,2019-06-18,11:24:00,2019-06-19,08:43:00,08:43:30,08:44:00,08:44:20,08:55:22,BJD11_23956_June2019_BJD11_1.csv
SUX,-1216,F9858,F9859,W/G,23904,SELECT id FROM `KRSP 2019`.squirrel where taglft='F9858' AND tagrt='F9859';,CONTROL,LL,N/A,N/A,N/A,N/A,N/A,REPRODUCTION,21,2019-05-22,16:08:44,2019-05-25,10:46:00,2019-06-25,11:16:00,2019-06-27,11:50:00,11:50:30,11:51:00,11:51:20,12:13:15,BJD21_23904_May2019_BJD21_1.csv
SUX,-1017,F9854,F9855,G/O,23902,SELECT id FROM `KRSP 2019`.squirrel where taglft='F9854' AND tagrt='F9855';,CONTROL,9-Jun-19,11-Jun-19,LL,26-Jul-19,29-Jul-19,,REPRODUCTION,17,2019-05-22,16:08:01,2019-05-25,10:16:00,NaT,NaN,2019-09-25,16:14:00,16:14:30,16:15:00,16:15:20,NaN,
BT,B1.,M3294,M1193,R/R,21953,SELECT id FROM `KRSP 2019`.squirrel where taglft='M3294' AND tagrt='M1193';,SHAM,DEAD,N/A,N/A,N/A,N/A,N/A,REPRODUCTION,18,2019-05-26,15:39:59,2019-05-27,09:15:00,2019-06-17,10:30:00,2019-06-18,12:30:00,12:30:30,12:31:00,12:31:20,13:10:33,BJD18_21953_June2019_BJD18_1.csv
SUX,-516,-,M6037,-/R,23894,SELECT id FROM `KRSP 2019`.squirrel where taglft='-' AND tagrt='M6037';,CONTROL,9-Jun-19,18-Jun-19,LL,N/A,N/A,N/A,REPRODUCTION,20,2019-05-26,15:40:51,2019-05-28,08:50:00,2019-07-13,09:30:00,2019-07-23,08:53:00,08:53:30,08:54:00,08:54:20,09:11:12,BJD20_23894_MAY-JULY2019_BJD20_1.csv
BT,C2.,-,M0612,-/Y,21944,SELECT id FROM `KRSP 2019`.squirrel where taglft='-' AND tagrt='M0612';,SHAM,20-Jun-19,26-Jun-19,18-Jul-19,,,,REPRODUCTION,15,2019-05-26,15:45:01,2019-05-29,12:13:00,2019-07-31,10:31:00,2019-07-31,22:16:00,22:16:30,22:17:00,22:17:20,10:35:18,BJD15_21944_June-July2019_BJD15_2.csv
JO,K.7.,M0234,M0233,G/W,20760,SELECT id FROM `KRSP 2019`.squirrel where taglft='M0234' AND tagrt='M0233';,RATTLE,3-Jun-19,6-Jun-19,LL,N/A,N/A,N/A,REPRODUCTION,16,2019-05-26,16:59:26,2019-05-30,09:26:00,2019-07-16,15:01:00,2019-07-15,NaN,NaN,NaN,NaN,11:15:00,BJD16_20760_MAY-JULY2019_BJD16_1.csv
RR,D.0,M5969,M5968,Bk/Y,23867,SELECT id FROM `KRSP 2019`.squirrel where taglft='M5969' AND tagrt='M5968';,RATTLE,5-Jun-19,9-Jun-19,LL,N/A,N/A,N/A,REPRODUCTION,5,2019-05-30,11:02:15,2019-06-02,11:23:00,2019-07-15,10:35:00,2019-07-23,08:53:00,08:53:30,08:54:00,08:54:20,09:12:11,BJD5_23867_JUNE-JULY2019_BJD5_1.csv
JO,N12. (P15.),M5924,M5925,P/G,23787,SELECT id FROM `KRSP 2019`.squirrel where taglft='M5924' AND tagrt='M5925';,RATTLE,12-Jun-19,17-Jun-19,LL,,,,REPRODUCTION,7,2019-05-30,11:02:36,2019-06-07,12:31:00,2019-09-25,10:30:00,2019-10-02,15:51:00,15:51:30,15:52:00,15:52:20,16:19:22,BJD7_23787_October2019_BJD7_1.csv
JO,R5.,M1843,M1844,W/W,22543,SELECT id FROM `KRSP 2019`.squirrel where taglft='M1843' AND tagrt='M1844';,RATTLE,8-Jun-19,12-Jun-19,4-Jul-19,N/A,N/A,N/A,REPRODUCTION,19,2019-05-30,11:03:01,2019-06-02,17:23:00,2019-07-09,08:35:00,2019-07-10,09:46:00,09:46:30,09:47:00,09:47:20,NaN,
JO,F0,M5128,M5129,B/Y,23251,SELECT id FROM `KRSP 2019`.squirrel where taglft='M5128' AND tagrt='M5129';,RATTLE,DEAD,N/A,N/A,N/A,N/A,N/A,REPRODUCTION,22,2019-06-09,10:08:32,2019-06-12,11:32:00,2019-06-23,15:55:00,2019-06-23,18:08:00,18:08:30,18:09:00,18:09:20,18:29:11,
BT,K6.,M2722,M2723,R/O,22167,SELECT id FROM `KRSP 2019`.squirrel where taglft='M2722' AND tagrt='M2723';,SHAM,16-Jun-19,21-Jun-19,DEAD,N/A,N/A,N/A,REPRODUCTION,18,2019-06-19,13:04:28,2019-06-20,13:41:00,2019-07-06,10:03:00,2019-07-07,10:54:30,10:55:00,10:55:30,10:55:50,11:12:52,BJD18_22167_JUNE2019_BJD18_1.csv
RR,A10.,F9998,F9997,R/Y,23869,SELECT id FROM `KRSP 2019`.squirrel where taglft='F9998' AND tagrt='F9997';,RATTLE,14-Jun-19,29-Jun-19,LL,,,,REPRODUCTION,9,2019-06-19,13:04:48,2019-07-03,11:15:00,2019-10-03,NaN,2019-10-05,09:01:30,09:02:00,09:02:30,09:02:50,09:16:36,BJD9_23869_October2019_BJD9_B_1.csv
BT,B.3,F8837,F8839,G/G,22101,SELECT id FROM `KRSP 2019`.squirrel where taglft='F8837' AND tagrt='F8839';,SHAM,23-Jun-19,27-Jun-19,20-Jul-19,N/A,N/A,N/A,REPRODUCTION,11,2019-06-19,13:05:07,2019-06-20,13:18:00,2019-08-01,08:32:00,2019-08-04,11:22:00,11:22:30,11:23:00,11:23:20,11:49:24,BJD11_22101_June-Aug2019_BJD11_1.csv
JO,I5,F9562,F9025,Y/R,23201,SELECT id FROM `KRSP 2019`.squirrel where taglft='F9562' AND tagrt='F9025';,RATTLE,18-Jun-19,25-Jun-19,18-Jul-19,N/A,N/A,N/A,REPRODUCTION,14,2019-07-01,16:29:27,2019-07-06,11:18:00,2019-08-01,11:19:00,2019-08-04,11:22:00,11:22:30,11:23:00,11:23:20,11:50:04,BJD14_23201_July-Aug2019_BJD14_1.csv
SUX,-8.17,F9856,F9857,O/Y,23903,SELECT id FROM `KRSP 2019`.squirrel where taglft='F9856' AND tagrt='F9857';,CONTROL,N/A,N/A,N/A,27-Jul-19,30-Jul-19,,REPRODUCTION,21,2019-07-01,16:27:21,2019-07-24,11:41:00,2019-09-11,12:23:00,2019-09-12,15:02:00,15:02:30,NaN,NaN,15:13:20,BJD21_23903_BJD21_OY_SUX_1.csv
JO,K.7.,M0234,M0233,G/W,20760,SELECT id FROM `KRSP 2019`.squirrel where taglft='M0234' AND tagrt='M0233';,RATTLE,3-Jun-19,6-Jun-19,LL,,,,LAC,15,2019-08-27,15:26:24,2019-08-31,10:14:00,2019-09-23,10:57:00,2019-09-25,16:14:00,16:14:30,16:15:00,16:15:20,16:26:17,BJD15_20760_August2019_BJD15_B_1.csv
JO,Q10,H3570,H3571,Bk/R,19729,SELECT id FROM `KRSP 2019`.squirrel where taglft='H3570' AND tagrt='H3571';,RATTLE,,,,,,,LAC,6,2019-08-27,15:26:58,2019-09-10,12:50:00,2019-09-28,11:09:00,NaT,15:51:00,15:51:30,15:52:00,15:52:20,16:19:02,BJD6_19729_October2019_BJD6_1.csv
JO,T13,M3686,M3687,B/O,22290,SELECT id FROM `KRSP 2019`.squirrel where taglft='M3686' AND tagrt='M3687';,RATTLE,,,,,,,LAC,10,2019-08-27,15:27:28,2019-09-10,10:44:00,2019-09-28,10:43:00,NaT,15:51:00,15:51:30,15:52:00,15:52:20,16:18:35,BJD10_22290_October2019_October2019_1.csv
