"","year","grid","squirrel_id","cache_size_total","cache_size_total2","cache_size_new_open","cache_size_new_closed","cache_size_new","cache_size_old"
"574",2012,"KL",12664,1745.94011723253,NA,NA,NA,1253.49546878233,492.4446484502
"575",2012,"KL",12678,44257.1865074462,NA,NA,NA,137.444678594553,44119.7418288517
"576",2013,"KL",12678,45600.8456853866,NA,NA,NA,14665.8969847532,30934.9487006333
"577",2014,"KL",12678,42940.4664865104,NA,NA,NA,31782.7074782045,11157.7590083058
"578",2015,"KL",12678,23177.2961513995,NA,NA,NA,0,23177.2961513995
"579",2011,"KL",12703,360.792281310703,NA,NA,NA,0,360.792281310703
"580",2012,"KL",12703,2164.75368786422,NA,NA,NA,530.143760293278,1634.60992757094
"581",2013,"KL",12703,13921.2217161279,NA,NA,NA,10346.2856258836,3574.93609024433
"582",2012,"KL",12705,3423.40333209384,NA,NA,NA,1648.30530804518,1775.09802404866
"583",2014,"KL",12705,83446.9840646521,NA,NA,NA,81715.9665125241,1731.01755212798
"584",2015,"KL",12705,17593.880972853,NA,NA,NA,0,17593.880972853
"585",2016,"KL",12705,2749.99312931983,NA,NA,NA,0,2749.99312931983
"586",2012,"KL",12706,5414.65274818652,NA,NA,NA,1034.50682587303,4380.14592231348
"587",2013,"KL",12744,27262.3483487705,NA,NA,NA,7826.09999917387,19436.2483495966
"588",2014,"KL",12744,42386.957130856,NA,NA,NA,38526.2342839055,3860.72284695058
"589",2016,"KL",12744,18877.0448572577,NA,NA,NA,0,18877.0448572577
"590",2017,"KL",12744,8905.31561549831,NA,NA,NA,4495.47182513136,4409.84379036695
"591",2018,"KL",12744,682.702990210102,384.020431993182,0,0,298.68255821692,384.020431993182
"592",2013,"KL",12745,25839.9137350414,NA,NA,NA,19285.9231411224,6553.99059391903
"593",2014,"KL",12745,46630.0314387026,NA,NA,NA,40017.8428408758,6612.18859782678
"594",2012,"AG",12786,6544.29092660107,NA,NA,NA,0,6544.29092660107
"595",2012,"KL",12825,5084.35355056972,NA,NA,NA,4934.81374025885,149.539810310874
"596",2013,"KL",12825,18959.1189653327,NA,NA,NA,18877.0448572577,82.0741080750333
"597",2011,"KL",12827,20030.2449805741,NA,NA,NA,0,20030.2449805741
"598",2012,"KL",12827,14709.4473129136,NA,NA,NA,5705.79984735795,9003.64746555567
"599",2013,"KL",12827,44118.0924927085,NA,NA,NA,36682.8851594576,7435.20733325096
"600",2014,"KL",12827,13200.3832817618,NA,NA,NA,13183.6739358355,16.7093459262807
"601",2015,"KL",12827,9774.75138237928,NA,NA,NA,0,9774.75138237928
"602",2016,"KL",12827,0,NA,NA,NA,0,0
"603",2017,"KL",12827,90.477868423386,NA,NA,NA,60.318578948924,30.159289474462
"604",2013,"KL",12830,10938.4365711771,NA,NA,NA,9631.63220205418,1306.80436912293
"605",2014,"KL",12831,30171.9540198468,NA,NA,NA,26829.1619917487,3342.79202809813
"606",2012,"KL",12835,21693.4826712009,NA,NA,NA,1789.52971530109,19903.9529558998
"607",2013,"KL",12835,7520.10887471423,NA,NA,NA,7405.85307689398,114.255797820244
"608",2017,"LL",12858,223.691214412636,223.691214412636,0,127.823551092935,127.823551092935,95.867663319701
"609",2011,"KL",12876,285.747486798077,NA,NA,NA,0,285.747486798077
"610",2012,"KL",12876,4210.96134044063,NA,NA,NA,3890.12619069277,320.835149747858
"611",2012,"KL",12908,12521.7599986782,NA,NA,NA,8674.56563509214,3847.19436358606
"612",2013,"KL",12908,30553.9520515692,NA,NA,NA,30103.6832844935,450.268767075757
"613",2012,"AG",12910,62302.494709666,NA,NA,NA,1688.50787653409,60613.9868331319
