squirrelId,in_awake,in_asleep,out_awake,out_asleep,is_female,is_mast,year,start_dt,end_dt,durationInMinutes,inNestInMinutes,asleepInMinutes,meanSeason
12348,0.385416666666667,0.432565789473684,0.181944444444444,7.30994152046784e-05,0,0,2017,07-Nov-2016,25-Nov-2016 23:59:00,27359,22380,11837,1
13114,0.461386268343816,0.431564465408805,0.107049266247379,0,0,0,2017,12-Nov-2016,03-Jan-2017 23:59:00,76319,68150,32937,1
19890,0.463125,0.410746527777778,0.124184027777778,0.00194444444444444,0,0,2017,07-Nov-2016,16-Dec-2016 23:59:00,57599,50335,23771,1
22363,0.348135964912281,0.403508771929825,0.219700292397661,0.0286549707602339,0,0,2017,12-Nov-2016,30-Nov-2016 23:59:00,27359,20565,11824,1
13487,0.267673611111111,0.406388888888889,0.280416666666667,0.0455208333333333,0,0,2017,06-Nov-2016,25-Nov-2016 23:59:00,28859,19413,13015,1
21333,0.431701388888889,0.4484375,0.119861111111111,0,0,0,2017,06-Nov-2016,25-Nov-2016 23:59:00,28859,25348,12915,1
20914,0.389209401709402,0.464690170940171,0.146100427350427,0,0,0,2017,06-Nov-2016,18-Nov-2016 23:59:00,18779,15985,8699,1
22465,0.405208333333333,0.450505050505051,0.143876262626263,0.000410353535353535,0,0,2017,06-Nov-2016,27-Nov-2016 23:59:00,31739,27109,14285,1
12613,0.376917989417989,0.402876984126984,0.188822751322751,0.0313822751322751,0,0,2017,06-Nov-2016,26-Nov-2016 23:59:00,30299,23581,13132,1
12678,0.077906378600823,0.362114197530864,0.559439300411523,0.000540123456790123,0,1,2014,2014-08-31 00:00:00,2014-09-26 23:59:00,38879,17108,14100,4
19537,0.0821990740740741,0.322939814814815,0.545046296296296,0.0498148148148148,0,1,2014,2014-08-26 00:00:00,2014-09-24 23:59:00,43199,17502,16103,4
12027,0.114434523809524,0.374206349206349,0.509821428571429,0.00153769841269841,0,1,2014,2014-09-15 00:00:00,2014-09-28 23:59:00,20159,9851,7575,4
20495,0.0991830065359477,0.364787581699346,0.536029411764706,0,0,1,2014,2014-09-10 00:00:00,2014-09-26 23:59:00,24479,11358,8930,4
12522,0.0756213450292398,0.343567251461988,0.580555555555556,0.000255847953216374,0,1,2014,2014-08-28 00:00:00,2014-09-15 23:59:00,27359,11469,9407,4
19655,0.170034722222222,0.331006944444444,0.424479166666667,0.0744791666666667,1,1,2014,2014-09-03 00:00:00,2014-09-22 23:59:00,28799,14430,11678,4
12285,0.0779970760233918,0.343786549707602,0.578216374269006,0,1,1,2014,2014-08-26 00:00:00,2014-09-13 23:59:00,27359,11540,9406,4
12705,0.0963293650793651,0.363194444444444,0.53207671957672,0.0083994708994709,0,1,2014,2014-09-09 00:00:00,2014-09-29 23:59:00,30239,13896,11237,4
19354,0.0698036398467433,0.3522030651341,0.576628352490421,0.00136494252873563,0,1,2014,2014-08-29 00:00:00,2014-09-26 23:59:00,41759,17623,14765,4
13690,0.107077991452991,0.366185897435897,0.51071047008547,0.016025641025641,0,1,2014,2014-09-03 00:00:00,2014-09-28 23:59:00,37439,17719,14310,4
13012,0.120627572016461,0.327854938271605,0.541203703703704,0.0103137860082305,1,1,2014,2014-08-26 00:00:00,2014-09-21 23:59:00,38879,17437,13148,4
19880,0.0966579861111111,0.352951388888889,0.5501953125,0.0001953125,0,1,2014,2014-08-26 00:00:00,2014-09-26 23:59:00,46079,20718,16273,4
11674,0.0774884259259259,0.368258101851852,0.554050925925926,0.000202546296296296,1,1,2014,2014-09-03 00:00:00,2014-09-26 23:59:00,34559,15405,12734,4
19601,0.092037037037037,0.367824074074074,0.539606481481481,0.000532407407407407,0,1,2014,2014-08-28 00:00:00,2014-09-26 23:59:00,43199,19866,15913,4
13305,0.0856691919191919,0.330460858585859,0.58386994949495,0,1,1,2014,2014-08-26 00:00:00,2014-09-16 23:59:00,31679,13183,10469,4
19583,0.112345679012346,0.339429012345679,0.501003086419753,0.0472222222222222,1,1,2014,2014-08-29 00:00:00,2014-09-06 23:59:00,12959,5855,5011,4
13179,0.10239898989899,0.335921717171717,0.550599747474747,0.0110795454545455,0,1,2014,2014-09-05 00:00:00,2014-09-26 23:59:00,31679,13886,10993,4
20155,0.0802300347222222,0.356553819444444,0.563042534722222,0.000173611111111111,0,1,2014,2014-08-26 00:00:00,2014-09-26 23:59:00,46079,20127,16438,4
11979,0.144027777777778,0.327222222222222,0.495972222222222,0.0327777777777778,0,1,2014,2014-09-15 00:00:00,2014-09-24 23:59:00,14399,6786,5184,4
