"","squirrel_id","byear","bcert","litter_id","dates","datee","part","longevity"
"236",555,1989,"Y",563,"1989-04-01","1989-07-09",NA,98
"237",591,1989,"Y",559,"1989-04-01","1989-08-15",NA,135
"238",1245,1989,"Y",563,"1989-04-01","1991-08-31",NA,881
"239",625,1989,"Y",559,"1989-04-01","1989-08-08",NA,128
"240",502,1989,"Y",577,"1989-04-01","1989-05-26",NA,54
"241",545,1989,"Y",577,"1989-04-01","1989-06-30",NA,89
"242",541,1989,"Y",563,"1989-04-01","1989-06-29",NA,88
"243",589,1989,"Y",577,"1989-04-01","1989-08-15",NA,135
"244",412,1989,"Y",561,"1989-04-03","1989-04-03",NA,0
"245",413,1989,"Y",561,"1989-04-03","1989-04-03",NA,0
"246",414,1989,"Y",561,"1989-04-03","1989-04-03",NA,0
"247",556,1989,"Y",544,"1989-04-05","1989-07-09",NA,95
"248",551,1989,"Y",605,"1989-04-05","1989-06-13",NA,69
"249",608,1989,"Y",605,"1989-04-05","1989-08-07",NA,124
"250",417,1989,"Y",544,"1989-04-05","1989-04-05",NA,0
"251",418,1989,"Y",544,"1989-04-05","1989-04-05",NA,0
"252",451,1989,"Y",605,"1989-04-05","1989-04-05",NA,0
"253",423,1989,"Y",493,"1989-04-07","1989-04-07",NA,0
"254",426,1989,"Y",493,"1989-04-07","1989-04-07",NA,0
"255",427,1989,"Y",493,"1989-04-07","1989-04-07",NA,0
"256",511,1989,"Y",594,"1989-04-07","1989-06-08",NA,62
"257",690,1989,"Y",594,"1989-04-07","1989-09-24",NA,170
"258",503,1989,"Y",552,"1989-04-07","1989-05-28",NA,51
"259",507,1989,"Y",552,"1989-04-07","1989-06-04",NA,58
"260",594,1989,"Y",552,"1989-04-07","1989-08-05",NA,120
"261",407,1989,"Y",547,"1989-04-08","1989-04-08",NA,0
"262",733,1989,"Y",523,"1989-04-08","1990-05-16",NA,403
"263",1220,1989,"Y",523,"1989-04-08","1991-08-15",NA,859
"264",1575,1989,"Y",523,"1989-04-08","1992-08-31",NA,1241
"265",416,1989,"Y",535,"1989-04-08","1989-08-23",NA,137
"266",531,1989,"Y",535,"1989-04-08","1989-06-22",NA,75
"267",432,1989,"Y",480,"1989-04-08","1989-04-08",NA,0
"268",563,1989,"Y",535,"1989-04-08","1989-07-21",NA,104
"269",433,1989,"Y",480,"1989-04-08","1989-04-08",NA,0
"270",622,1989,"Y",507,"1989-04-08","1989-08-15",NA,129
"271",405,1989,"Y",547,"1989-04-08","1989-04-08",NA,0
"272",559,1989,"Y",480,"1989-04-08","1989-07-16",NA,99
"273",623,1989,"Y",507,"1989-04-08","1989-08-08",NA,122
"274",406,1989,"Y",547,"1989-04-08","1989-04-08",NA,0
"275",449,1989,"Y",504,"1989-04-09","1989-04-09",NA,0
"276",450,1989,"Y",504,"1989-04-09","1989-04-09",NA,0
"277",585,1989,"Y",504,"1989-04-09","1989-08-03",NA,116
"278",441,1989,"Y",520,"1989-04-10","1989-04-10",NA,0
"279",421,1989,"Y",478,"1989-04-10","1989-04-10",NA,0
"280",510,1989,"Y",520,"1989-04-10","1989-04-10",NA,0
"281",422,1989,"Y",478,"1989-04-10","1989-04-10",NA,0
"282",439,1989,"Y",484,"1989-04-10","1989-04-10",NA,0
"283",518,1989,"Y",520,"1989-04-10","1989-06-13",NA,64
"284",600,1989,"Y",478,"1989-04-10","1989-08-15",NA,127
"285",440,1989,"Y",484,"1989-04-10","1989-04-10",NA,0
"286",504,1989,"Y",606,"1989-04-10","1989-04-10",NA,0
"287",436,1989,"Y",546,"1989-04-11","1989-04-11",NA,0
"288",508,1989,"Y",546,"1989-04-11","1989-06-04",NA,54
"289",526,1989,"Y",546,"1989-04-11","1989-06-19",NA,69
"290",458,1989,"Y",609,"1989-04-11","1989-04-11",NA,0
"291",652,1989,"Y",609,"1989-04-11","1989-08-15",NA,126
"292",706,1989,"Y",609,"1989-04-11","1989-09-26",NA,168
"293",442,1989,"Y",600,"1989-04-12","1989-04-12",NA,0
"294",443,1989,"Y",600,"1989-04-12","1989-04-12",NA,0
"295",444,1989,"Y",600,"1989-04-12","1989-04-12",NA,0
"296",592,1989,"Y",528,"1989-04-13","1989-08-23",NA,132
"297",557,1989,"Y",554,"1989-04-13","1989-07-09",NA,87
"298",462,1989,"Y",506,"1989-04-13","1989-04-13",NA,0
"299",482,1989,"Y",495,"1989-04-13","1989-04-13",NA,0
"300",569,1989,"Y",554,"1989-04-13","1989-07-25",NA,103
"301",575,1989,"Y",506,"1989-04-13","1989-08-15",NA,124
"302",483,1989,"Y",495,"1989-04-13","1989-04-13",NA,0
"303",572,1989,"Y",554,"1989-04-13","1989-07-26",NA,104
"304",663,1989,"Y",506,"1989-04-13","1989-08-15",NA,124
"305",635,1989,"Y",495,"1989-04-13","1989-08-08",NA,117
"306",703,1989,"Y",533,"1989-04-13","1989-09-26",NA,166
"307",904,1989,"Y",533,"1989-04-13","1990-08-22",NA,496
"308",1200,1989,"Y",533,"1989-04-13","1991-08-05",NA,844
"309",470,1989,"Y",528,"1989-04-13","1989-04-13",NA,0
"310",495,1989,"Y",528,"1989-04-13","1989-05-24",NA,41
"311",459,1989,"Y",534,"1989-04-15","1989-04-15",NA,0
"312",533,1989,"Y",534,"1989-04-15","1989-06-22",NA,68
"313",564,1989,"Y",534,"1989-04-15","1989-07-21",NA,97
"314",539,1989,"Y",556,"1989-04-16","1989-06-29",NA,74
"315",491,1989,"Y",582,"1989-04-16","1989-04-16",NA,0
"316",492,1989,"Y",582,"1989-04-16","1989-04-16",NA,0
"317",493,1989,"Y",582,"1989-04-16","1989-04-16",NA,0
"318",486,1989,"Y",556,"1989-04-16","1989-04-16",NA,0
"319",673,1989,"Y",490,"1989-04-16","1989-08-15",NA,121
"320",487,1989,"Y",556,"1989-04-16","1989-04-16",NA,0
"321",674,1989,"Y",490,"1989-04-16","1989-08-12",NA,118
"322",488,1989,"Y",595,"1989-04-17","1989-04-17",NA,0
"323",523,1989,"Y",595,"1989-04-17","1989-06-15",NA,59
"324",534,1989,"Y",494,"1989-04-18","1989-06-24",NA,67
"325",560,1989,"Y",486,"1989-04-18","1989-07-16",NA,89
"326",1874,1989,"Y",531,"1989-04-18","1993-08-18",NA,1583
"327",637,1989,"Y",486,"1989-04-18","1989-08-15",NA,119
"328",535,1989,"Y",598,"1989-04-19","1989-06-24",NA,66
"329",469,1989,"Y",593,"1989-04-19","1989-08-15",NA,118
"330",452,1989,"Y",521,"1989-04-19","1989-04-19",NA,0
"331",577,1989,"Y",598,"1989-04-19","1989-06-19",NA,61
"332",683,1989,"Y",593,"1989-04-19","1989-04-19",NA,0
"333",453,1989,"Y",521,"1989-04-19","1989-04-19",NA,0
"334",1252,1989,"Y",598,"1989-04-19","1992-05-15",NA,1122
"335",711,1989,"Y",593,"1989-04-19","1989-09-27",NA,161
"336",454,1989,"Y",521,"1989-04-19","1989-04-19",NA,0
"337",463,1989,"Y",502,"1989-04-19","1989-04-19",NA,0
"338",576,1989,"Y",502,"1989-04-19","1989-08-15",NA,118
"339",707,1989,"Y",527,"1989-04-20","1990-05-15",NA,390
"340",499,1989,"Y",607,"1989-04-20","1989-04-20",NA,0
"341",500,1989,"Y",607,"1989-04-20","1989-08-15",NA,117
"342",438,1989,"Y",589,"1989-04-20","1989-04-20",NA,0
"343",446,1989,"Y",505,"1989-04-20","1989-04-20",NA,0
"344",445,1989,"Y",589,"1989-04-20","1989-04-20",NA,0
"345",447,1989,"Y",505,"1989-04-20","1989-04-20",NA,0
"346",532,1989,"Y",516,"1989-04-21","1989-06-22",NA,62
"347",568,1989,"Y",516,"1989-04-21","1989-07-25",NA,95
"348",456,1989,"Y",585,"1989-04-21","1989-04-21",NA,0
"349",457,1989,"Y",585,"1989-04-21","1989-04-21",NA,0
"350",476,1989,"Y",585,"1989-04-21","1989-05-22",NA,31
"351",528,1989,"Y",516,"1989-04-21","1989-06-19",NA,59
"352",1178,1989,"Y",602,"1989-04-22","1991-07-01",NA,800
"353",1620,1989,"Y",602,"1989-04-22","1992-09-04",NA,1231
"354",472,1989,"Y",514,"1989-04-23","1989-04-23",NA,0
"355",473,1989,"Y",514,"1989-04-23","1989-04-23",NA,0
"356",561,1989,"Y",514,"1989-04-23","1989-07-17",NA,85
"357",471,1989,"Y",497,"1989-04-24","1989-04-24",NA,0
"358",562,1989,"Y",524,"1989-04-24","1989-07-21",NA,88
"359",496,1989,"Y",501,"1989-04-24","1989-04-24",NA,0
"360",643,1989,"Y",497,"1989-04-24","1989-08-09",NA,107
"361",636,1989,"Y",501,"1989-04-24","1989-08-08",NA,106
"362",666,1989,"Y",501,"1989-04-24","1989-08-11",NA,109
"363",519,1989,"Y",524,"1989-04-24","1989-06-13",NA,50
"364",645,1989,"Y",497,"1989-04-24","1989-08-15",NA,113
"365",554,1989,"Y",524,"1989-04-24","1989-04-24",NA,0
"366",847,1989,"Y",524,"1989-04-24","1990-07-05",NA,437
"367",479,1989,"Y",509,"1989-04-26","1989-04-26",NA,0
"368",480,1989,"Y",509,"1989-04-26","1989-04-26",NA,0
"369",481,1989,"Y",509,"1989-04-26","1989-04-26",NA,0
