isq,squirrelId,in_awake,in_asleep,out_awake,out_asleep,is_female,is_mast,year,start_dt,end_dt,durationInMinutes,inNestInMinutes,asleepInMinutes,meanSeason
220,19884,0.0679843304843305,0.596688034188034,0.216043447293447,0.119284188034188,0,1,2014,2014-02-18 00:00:00,2014-03-28 23:59:00,56099,37328,40209,2
221,12576,0.0674707602339181,0.692836257309941,0.153691520467836,0.0860014619883041,0,1,2014,2014-02-14 00:00:00,2014-03-04 23:59:00,27359,20802,21309,2
222,13466,0.0856770833333333,0.716145833333333,0.144097222222222,0.0540798611111111,0,1,2014,2014-02-15 00:00:00,2014-02-22 23:59:00,11519,9237,8873,2
223,19748,0.0654513888888889,0.744010416666667,0.132204861111111,0.0583333333333333,0,1,2014,2014-02-17 00:00:00,2014-02-24 23:59:00,11519,9325,9243,2
224,12209,0.0647727272727273,0.700063131313131,0.156628787878788,0.0785353535353535,0,1,2014,2014-02-14 00:00:00,2014-02-24 23:59:00,15839,12115,12333,2
225,13179,0.0611842105263158,0.682858187134503,0.158954678362573,0.0970029239766082,0,1,2014,2014-02-11 00:00:00,2014-03-01 23:59:00,27359,20357,21337,2
226,21389,0.0579861111111111,0.672743055555556,0.159548611111111,0.109722222222222,0,0,2016,26-Feb-2016,29-Feb-2016 23:59:00,5759,4209,4507,2
227,20729,0.0686594202898551,0.539975845410628,0.164462560386473,0.226902173913043,0,0,2016,26-Feb-2016,19-Mar-2016 23:59:00,33059,20158,25399,2
229,19880,0.0763888888888889,0.669907407407407,0.154513888888889,0.0991898148148148,0,0,2016,26-Feb-2016,02-Mar-2016 23:59:00,8639,6448,6645,2
230,20634,0.0530092592592593,0.723148148148148,0.126851851851852,0.0969907407407407,0,0,2016,26-Feb-2016,28-Feb-2016 23:59:00,4319,3353,3543,2
231,20729,0.0770354406130268,0.6852969348659,0.090205938697318,0.147461685823755,0,0,2017,24-Feb-2017,24-Mar-2017 23:59:00,41699,31835,34776,2
232,21332,0.0770102339181287,0.623684210526316,0.198428362573099,0.100877192982456,0,0,2017,26-Mar-2017,13-Apr-2017 23:59:00,27359,19171,19824,2
233,21387,0.0694683908045977,0.749640804597701,0.108500957854406,0.072389846743295,0,0,2017,24-Feb-2017,24-Mar-2017 23:59:00,41699,34206,34328,2
234,19981,0.0660434472934473,0.661271367521368,0.136698717948718,0.135986467236467,0,0,2017,24-Feb-2017,03-Apr-2017 23:59:00,56099,40846,44774,2
235,21468,0.096875,0.706597222222222,0.0800925925925926,0.116435185185185,0,0,2017,24-Feb-2017,01-Mar-2017 23:59:00,8639,6942,7111,2
